knockdown_PmSTAT-UP	WSSV_infection-UP
	TRINITY_DN73418_c14_g1
	TRINITY_DN75949_c4_g3
	TRINITY_DN75179_c2_g1
	TRINITY_DN84919_c0_g1
	TRINITY_DN92598_c7_g1
	TRINITY_DN92200_c12_g3
	TRINITY_DN93344_c5_g3
	TRINITY_DN91649_c4_g5
	TRINITY_DN91691_c7_g1
	TRINITY_DN93344_c5_g2
	TRINITY_DN80803_c3_g1
	TRINITY_DN84616_c8_g3
	TRINITY_DN74190_c5_g1
	TRINITY_DN90117_c3_g1
	TRINITY_DN86161_c9_g1
	TRINITY_DN91467_c15_g1
	TRINITY_DN78468_c9_g2
	TRINITY_DN91330_c6_g2
	TRINITY_DN86171_c2_g3
	TRINITY_DN93012_c8_g1
	TRINITY_DN73748_c12_g1
	TRINITY_DN74482_c13_g1
	TRINITY_DN93132_c17_g2
	TRINITY_DN81637_c8_g2
	TRINITY_DN83388_c14_g5
	TRINITY_DN93054_c12_g1
	TRINITY_DN93024_c5_g1
	TRINITY_DN91050_c11_g1
	TRINITY_DN78496_c13_g1
	TRINITY_DN77971_c23_g1
	TRINITY_DN91479_c12_g1
	TRINITY_DN77971_c18_g1
	TRINITY_DN86963_c9_g4
	TRINITY_DN91607_c10_g1
	TRINITY_DN78687_c1_g1
	TRINITY_DN75949_c7_g1
	TRINITY_DN84095_c9_g2
	TRINITY_DN91298_c10_g1
	TRINITY_DN90342_c4_g1
	TRINITY_DN88319_c5_g1
	TRINITY_DN73434_c10_g7
	TRINITY_DN81710_c6_g2
	TRINITY_DN93567_c8_g4
	TRINITY_DN75481_c2_g1
	TRINITY_DN77007_c1_g1
	TRINITY_DN85549_c8_g2
	TRINITY_DN78613_c5_g1
	TRINITY_DN86412_c3_g1
	TRINITY_DN92499_c2_g4
	TRINITY_DN74601_c17_g2
	TRINITY_DN93344_c6_g2
	TRINITY_DN75984_c7_g1
	TRINITY_DN88050_c13_g2
	TRINITY_DN91470_c4_g1
	TRINITY_DN89150_c12_g1
	TRINITY_DN89122_c12_g1
	TRINITY_DN88499_c3_g5
	TRINITY_DN84857_c9_g2
	TRINITY_DN85095_c2_g4
	TRINITY_DN82828_c13_g1
	TRINITY_DN86171_c2_g4
	TRINITY_DN71242_c0_g1
	TRINITY_DN88050_c13_g1
